Red,Green,Blue
67,72,84
67,73,84
66,73,83
66,71,82
67,70,80
68,70,78
70,74,85
73,80,92
65,68,81
88,109,133
88,111,126
86,103,119
81,91,113
76,84,103
72,78,93
70,73,83
67,69,80
65,68,80
71,76,91
66,69,81
66,70,81
66,70,81
65,70,80
65,68,79
66,68,77
67,69,76
69,72,83
64,67,78
85,98,123
86,100,117
83,95,111
79,86,105
75,81,97
71,76,89
68,71,81
65,68,79
63,67,79
63,69,79
64,70,79
65,69,78
65,68,78
65,66,76
65,66,77
66,67,76
62,70,78
83,86,107
83,86,102
81,83,98
77,80,95
74,76,89
70,71,83
67,68,78
63,67,77
61,67,77
62,70,78
63,68,77
63,67,76
63,65,75
63,65,75
64,65,76
77,79,92
77,77,90
78,75,88
76,74,86
73,74,84
71,70,81
69,68,78
66,66,75
64,66,75
62,66,76
62,67,76
62,68,76
63,67,75
63,66,74
62,65,74
62,63,74
72,72,82
72,71,79
73,68,79
72,68,78
70,69,78
68,67,76
67,66,75
65,65,74
64,65,74
63,65,75
63,66,75
63,66,75
63,66,74
62,65,73
67,68,79
67,66,77
68,66,77
67,66,77
67,67,77
66,66,76
65,65,75
65,65,75
65,65,75
64,65,75
63,64,75
63,63,74
62,64,73
65,67,77
65,66,76
65,65,75
66,65,75
66,65,76
65,66,76
63,65,74
64,67,74
64,66,75
64,65,75
64,66,75
65,66,76
64,65,73
65,64,73
65,63,73
65,63,74
65,64,74
65,65,75
64,66,75
63,67,75
63,66,75
63,67,75
63,68,74
64,63,73
64,62,73
65,63,73
64,64,74
64,65,75
63,66,75
63,67,75
63,66,75
63,65,73
62,65,73
63,65,73
63,63,73
63,62,73
63,63,73
63,65,74
63,65,74
63,67,75
63,67,75
62,66,72
62,65,72
62,63,73
62,65,73
62,65,73
62,66,74
62,66,72
61,65,72
61,66,72
61,64,72
61,62,72
62,64,72
62,65,72
61,63,71
60,63,71
60,63,71
60,62,71
60,61,71
61,62,71
61,63,71
60,63,71
60,62,71
61,63,71
61,63,71
61,63,71
61,63,70
61,62,69
61,62,69
61,61,68
186,203,255
185,203,255
185,205,255
185,208,255
186,202,255
185,202,255
185,201,255
185,202,255
186,205,255
193,207,255
189,207,255
186,203,255
183,202,255
184,201,255
185,201,255
186,205,255
189,207,255
191,206,255
195,209,255
198,215,255
204,225,255
184,201,255
182,203,255
183,203,255
206,229,255
201,220,255
196,212,255
191,205,255
189,205,255
188,206,255
187,208,255
186,207,255
184,203,255
185,198,254
183,198,255
181,200,255
182,201,255
183,202,255
185,205,255
185,206,255
185,207,255
184,203,255
184,200,255
188,200,255
193,204,255
197,212,255
206,213,251
201,214,255
185,196,253
183,195,253
181,195,254
180,198,254
181,199,255
183,200,255
184,202,255
184,204,255
198,204,243
182,206,255
180,201,255
178,196,255
181,190,255
184,191,255
187,197,252
193,200,247
204,206,240
179,185,243
186,197,253
184,196,252
182,196,252
180,197,253
181,197,253
182,198,254
183,200,255
183,201,255
180,202,255
178,198,255
176,194,255
177,188,252
178,186,248
184,190,239
190,195,235
196,200,235
182,196,252
181,196,252
180,197,252
183,197,252
185,198,253
187,199,253
188,201,254
182,198,253
182,199,255
179,199,255
176,196,255
174,191,251
173,186,247
172,183,243
171,180,238
176,183,233
182,187,230
189,207,255
188,205,255
186,202,254
183,199,253
181,196,252
181,195,250
181,194,249
182,195,250
180,197,252
178,199,253
175,194,251
172,188,247
169,183,244
166,180,240
163,179,236
175,179,227
168,178,231
171,177,225
189,210,255
190,211,255
190,211,255
187,206,255
184,200,254
182,196,251
181,194,249
180,193,247
180,194,247
178,195,248
175,194,248
172,189,247
168,185,244
166,181,241
163,179,238
160,177,233
164,176,229
165,182,240
190,209,255
191,214,255
191,218,255
188,210,255
186,202,254
183,195,251
181,194,248
179,193,245
178,193,244
175,192,244
172,188,244
162,179,238
160,177,235
157,175,230
168,185,242
161,174,226
159,177,232
190,206,255
192,209,255
193,212,255
190,209,255
187,205,255
184,198,252
181,194,248
178,192,244
176,190,243
173,188,241
168,184,240
158,172,224
154,174,227
157,176,230
165,181,238
162,179,235
158,174,227
189,203,254
191,205,255
192,208,255
189,207,255
186,205,255
184,198,252
181,194,248
177,191,244
174,188,241
171,185,239
167,181,236
163,178,233
155,173,225
153,172,223
156,171,221
160,176,230
154,171,220
186,200,250
187,203,253
187,205,255
186,204,255
184,201,255
183,198,253
180,194,248
177,190,244
173,187,240
169,184,236
166,181,232
162,176,229
159,172,226
157,171,223
156,170,220
156,166,218
